All available -march extensions for RISC-V

    Name                 Version   Description
    zvl4096b             1.0       'Zvl4096b' (Minimum Vector Length 4096)
    zvl512b              1.0       'Zvl512b' (Minimum Vector Length 512)
    zvl64b               1.0       'Zvl64b' (Minimum Vector Length 64)
    zvl65536b            1.0       'Zvl65536b' (Minimum Vector Length 65536)
    zvl8192b             1.0       'Zvl8192b' (Minimum Vector Length 8192)
    zhinx                1.0       'Zhinx' (Half Float in Integer)
    zhinxmin             1.0       'Zhinxmin' (Half Float in Integer Minimal)
    sdext                1.0       'Sdext' (External Debugging Extension)
    sdtrig               1.0       'Sdtrig' (Debugging Triggers)
    sha                  1.0       'Sha' (Augmented Hypervisor)
    shcounterenw         1.0       'Shcounterenw' (Support writeable hcounteren enable bit for any hpmcounter that is not read-only zero)
    shgatpa              1.0       'Shgatpa' (SvNNx4 mode supported for all modes supported by satp, as well as Bare)
    shtvala              1.0       'Shtvala' (htval provides all needed values)
    shvsatpa             1.0       'Shvsatpa' (vsatp supports all modes supported by satp)
    shvstvala            1.0       'Shvstvala' (vstval provides all needed values)
    shvstvecd            1.0       'Shvstvecd' (vstvec supports Direct mode)
    smaia                1.0       'Smaia' (Advanced Interrupt Architecture Machine Level)
    smcdeleg             1.0       'Smcdeleg' (Counter Delegation Machine Level)
    smcsrind             1.0       'Smcsrind' (Indirect CSR Access Machine Level)
    smdbltrp             1.0       'Smdbltrp' (Double Trap Machine Level)
    smepmp               1.0       'Smepmp' (Enhanced Physical Memory Protection)
    smmpm                1.0       'Smmpm' (Machine-level Pointer Masking for M-mode)
    smnpm                1.0       'Smnpm' (Machine-level Pointer Masking for next lower privilege mode)
    smrnmi               1.0       'Smrnmi' (Resumable Non-Maskable Interrupts)
    smstateen            1.0       'Smstateen' (Machine-mode view of the state-enable extension)
    ss                   1.13      'Ss' (Supervisor Architecture)
    ss                   1.12      'Ss' (Supervisor Architecture)
    ssaia                1.0       'Ssaia' (Advanced Interrupt Architecture Supervisor Level)
    ssccfg               1.0       'Ssccfg' (Counter Configuration Supervisor Level)
    ssccptr              1.0       'Ssccptr' (Main memory supports page table reads)
    sscofpmf             1.0       'Sscofpmf' (Count Overflow and Mode-Based Filtering)
    sscounterenw         1.0       'Sscounterenw' (Support writeable scounteren enable bit for any hpmcounter that is not read-only zero)
    sscsrind             1.0       'Sscsrind' (Indirect CSR Access Supervisor Level)
    ssdbltrp             1.0       'Ssdbltrp' (Double Trap Supervisor Level)
    ssnpm                1.0       'Ssnpm' (Supervisor-level Pointer Masking for next lower privilege mode)
    sspm                 1.0       'Sspm' (Indicates Supervisor-mode Pointer Masking)
    ssqosid              1.0       'Ssqosid' (Quality-of-Service (QoS) Identifiers)
    ssstateen            1.0       'Ssstateen' (Supervisor-mode view of the state-enable extension)
    ssstrict             1.0       'Ssstrict' (No non-conforming extensions are present)
    sstc                 1.0       'Sstc' (Supervisor-mode timer interrupts)
    sstvala              1.0       'Sstvala' (stval provides all needed values)
    sstvecd              1.0       'Sstvecd' (stvec supports Direct mode)
    ssu64xl              1.0       'Ssu64xl' (UXLEN=64 supported)
    supm                 1.0       'Supm' (Indicates User-mode Pointer Masking)
    svade                1.0       'Svade' (Raise exceptions on improper A/D bits)
    svadu                1.0       'Svadu' (Hardware A/D updates)
    svbare               1.0       'Svbare' (satp mode Bare supported)
    svinval              1.0       'Svinval' (Fine-Grained Address-Translation Cache Invalidation)
    svnapot              1.0       'Svnapot' (NAPOT Translation Contiguity)
    svpbmt               1.0       'Svpbmt' (Page-Based Memory Types)
    svvptc               1.0       'Svvptc' (Obviating Memory-Management Instructions after Marking PTEs Valid)
    xcvalu               1.0       'XCValu' (CORE-V ALU Operations)
    xcvbi                1.0       'XCVbi' (CORE-V Immediate Branching)
    xcvbitmanip          1.0       'XCVbitmanip' (CORE-V Bit Manipulation)
    xcvelw               1.0       'XCVelw' (CORE-V Event Load Word)
    xcvmac               1.0       'XCVmac' (CORE-V Multiply-Accumulate)
    xcvmem               1.0       'XCVmem' (CORE-V Post-incrementing Load & Store)
    xcvsimd              1.0       'XCVsimd' (CORE-V SIMD ALU)
    xsfcease             0.1       'XSfcease' (SiFive sf.cease Instruction)
    xsfcease             1.0       'XSfcease' (SiFive sf.cease Instruction)
    xsfmm128t            0.6       'XSfmm128t' (TE=128 configuration)
    xsfmm16t             0.6       'XSfmm16t' (TE=16 configuration)
    xsfmm32a             0.6       'XSfmm32a' ((TEW=32-bit accumulation) operands - int: 8b; float: fp16, bf16, fp32)
    xsfmm32a16f          0.6       'XSfmm32a16f' ((TEW=32-bit accumulation) operands - float: 16b, widen=2 (IEEE, BF))
    xsfmm32a32f          0.6       'XSfmm32a32f' ((TEW=32-bit accumulation) operands - float: 32b)
    xsfmm32a4i           0.6       'XSfmm32a4i' ((TEW=32-bit accumulation) operands - int: 4b (packed))
    xsfmm32a8f           0.6       'XSfmm32a8f' ((TEW=32-bit accumulation) operands - float: fp8)
    xsfmm32a8i           0.6       'XSfmm32a8i' ((TEW=32-bit accumulation) operands - int: 8b)
    xsfmm32t             0.6       'XSfmm32t' (TE=32 configuration)
    xsfmm64a64f          0.6       'XSfmm64a64f' ((TEW=64-bit accumulation) operands - float: fp64)
    xsfmm64t             0.6       'XSfmm64t' (TE=64 configuration)
    xsfmmbase            0.6       'XSfmmbase' (All non arithmetic instructions for all TEWs and sf.vtzero)
    xsfpgflushdlone      0.1       'XSfpgflushdlone' (Cache Flush/Power Down Instructions)
    xsfpmpmt             0.1       'XSfpmpmt' (SiFive PMP-based Memory Types Extension)
    xsfsci               1.0       'XSfsci' (SiFive Custom Scalar Coprocessor Interface Instructions)
    xsfvcp               1.0       'XSfvcp' (SiFive Custom Vector Coprocessor Interface Instructions)
    xsfvfbfa             0.1       'XSfvfbfa' (SiFive custom additional BF16 vector compute support)
    xsfvfbfexp16e        0.1       'XSfvfbfexp16e' (SiFive Vector Floating-Point Exponential Function Instruction, BFloat16)
    xsfvfexp16e          0.1       'XSfvfexp16e' (SiFive Vector Floating-Point Exponential Function Instruction, Half Precision)
    xsfvfexp32e          0.1       'XSfvfexp32e' (SiFive Vector Floating-Point Exponential Function Instruction, Single Precision)
    xsfvfexpa            0.2       'XSfvfexpa' (SiFive Vector Floating-Point Exponential Approximation Instruction)
    xsfvfexpa64e         0.2       'XSfvfexpa64e' (SiFive Vector Floating-Point Exponential Approximation Instruction with Double-Precision)
    xsfvfhbfmin          0.1       'XSfvfhbfmin' (SiFive custom minimal BF16 vector support)
    xsfvfnrclipxfqf      1.0       'XSfvfnrclipxfqf' (SiFive FP32-to-int8 Ranged Clip Instructions)
    xsfvfnrclipxfqf      0.1       'XSfvfnrclipxfqf' (SiFive FP32-to-int8 Ranged Clip Instructions)
    xsfvfwmaccqqq        1.0       'XSfvfwmaccqqq' (SiFive Matrix Multiply Accumulate Instruction and 4-by-4))
    xsfvfwmaccqqq        0.1       'XSfvfwmaccqqq' (SiFive Matrix Multiply Accumulate Instruction and 4-by-4))
    xsfvqdotq            0.1       'XSfvqdotq' (SiFive Vector Quad-Widening 4D Dot Product Instructions)
    xsfvqmaccdod         1.0       'XSfvqmaccdod' (SiFive Int8 Matrix Multiplication Instructions (2-by-8 and 8-by-2))
    xsfvqmaccdod         0.1       'XSfvqmaccdod' (SiFive Int8 Matrix Multiplication Instructions (2-by-8 and 8-by-2))
    xsfvqmaccqoq         1.0       'XSfvqmaccqoq' (SiFive Int8 Matrix Multiplication Instructions (4-by-8 and 8-by-4))
    xsfvqmaccqoq         0.1       'XSfvqmaccqoq' (SiFive Int8 Matrix Multiplication Instructions (4-by-8 and 8-by-4))
    xsifivecdiscarddlone 0.1       'XSiFivecdiscarddlone' (SiFive sf.cdiscard.d.l1 Instruction)
    xsifivecdiscarddlone 1.0       'XSiFivecdiscarddlone' (SiFive sf.cdiscard.d.l1 Instruction)
    xsifivecflushdlone   0.1       'XSiFivecflushdlone' (SiFive sf.cflush.d.l1 Instruction)
    xsifivecflushdlone   1.0       'XSiFivecflushdlone' (SiFive sf.cflush.d.l1 Instruction)
    xtheadba             1.0       'XTHeadBa' (T-Head address calculation instructions)
    xtheadbb             1.0       'XTHeadBb' (T-Head basic bit-manipulation instructions)
    xtheadbs             1.0       'XTHeadBs' (T-Head single-bit instructions)
    xtheadcmo            1.0       'XTHeadCmo' (T-Head cache management instructions)
    xtheadcondmov        1.0       'XTHeadCondMov' (T-Head conditional move instructions)
    xtheadfmemidx        1.0       'XTHeadFMemIdx' (T-Head FP Indexed Memory Operations)
    xtheadmac            1.0       'XTHeadMac' (T-Head Multiply-Accumulate Instructions)
    xtheadmemidx         1.0       'XTHeadMemIdx' (T-Head Indexed Memory Operations)
    xtheadmempair        1.0       'XTHeadMemPair' (T-Head two-GPR Memory Operations)
    xtheadsync           1.0       'XTHeadSync' (T-Head multicore synchronization instructions)
    xtheadvdot           1.0       'XTHeadVdot' (T-Head Vector Extensions for Dot)
    xventanacondops      1.0       'XVentanaCondOps' (Ventana Conditional Ops)
    xwchc                2.2       'Xwchc' (WCH/QingKe additional compressed opcodes)

Experimental extensions
    zicfilp              1.0       'Zicfilp' (Landing pad)
    zicfiss              1.0       'Zicfiss' (Shadow stack)
    zalasr               0.1       'Zalasr' (Load-Acquire and Store-Release Instructions)
    zjid                 0.0       'Zjid' (Instruction/Data Cache Synchronization)
    zvbc32e              0.7       'Zvbc32e' (Vector Carryless Multiplication with 32-bits elements)
    zvfofp4min           0.1       'Zvfofp4min' (OFP4 conversion extension Zvfofp4min)
    zvfofp8min           0.2       'Zvfofp8min' (OFP8 conversion extension Zvfofp8min)
    zvkgs                0.7       'Zvkgs' (Vector-Scalar GCM instructions for Cryptography)
    zvqdotq              0.0       'Zvqdotq' (Vector quad widening 4D Dot Product)
    smctr                1.0       'Smctr' (Control Transfer Records Machine Level)
    smwg                 0.3       'Smwg' (The Smwg extension adds the mlwid CSR, which is an M-mode read-write CSR, whose least-significant bits set the WID to be used by lower-privilege modes.)
    smwgd                0.3       'Smwgd' (The Smwgd extension adds the mwiddeleg M-mode read-write CSR. The mwiddeleg register represents a set of WIDs as a bit vector with WID i represented by bit i of the register.)
    ssctr                1.0       'Ssctr' (Control Transfer Records Supervisor Level)
    sswg                 0.3       'Sswg' (The Sswg extension adds the [H]S-mode read-write slwid CSR, which sets the WID used for modes lower than [H]S-mode.)
    svukte               0.4       'Svukte' (Address-Independent Latency of User-Mode Faults to Supervisor Addresses)
    xqcia                0.2       'Xqcia' (Qualcomm uC Arithmetic Extension)
    xqciac               0.2       'Xqciac' (Qualcomm uC Load-Store Address Calculation Extension)
    xqcicli              0.2       'Xqcicli' (Qualcomm uC Conditional Load Immediate Extension)
    xqcicm               0.2       'Xqcicm' (Qualcomm uC Conditional Move Extension)
    xqcics               0.2       'Xqcics' (Qualcomm uC Conditional Select Extension)
    xqcicsr              0.2       'Xqcicsr' (Qualcomm uC CSR Extension)
    xqciint              0.2       'Xqciint' (Qualcomm uC Interrupts Extension)
    xqcilo               0.2       'Xqcilo' (Qualcomm uC Large Offset Load Store Extension)
    xqcilsm              0.2       'Xqcilsm' (Qualcomm uC Load Store Multiple Extension)
    xqcisls              0.2       'Xqcisls' (Qualcomm uC Scaled Load Store Extension)

Supported Profiles
    rva20s64
    rva20u64
    rva22s64
    rva22u64
    rva23s64
    rva23u64
    rvb23s64
    rvb23u64
    rvi20u32
    rvi20u64
    sfa23
    sfb23
    sfe23
    sfp23
    sfs23
    sfx23

Experimental Profiles
    rvm23u32

Use -march to specify the target's extension.
For example, clang -march=rv32i_v1p0
